BusinessEntityID,CustomerID,Title,FirstName,MiddleName,LastName,PhoneNumber,PhoneNumberType,EmailAddress,AddressType,AddressLine1,AddressLine2,City,StateProvinceName,PostalCode,CountryRegionName,CreditCardID,TerritoryID,Sales
1699,11377,Mr.,David,R.,Robinett,238-555-0100,Home,david22@adventure-works.com,Home,Pappelallee 6667,NULL,Solingen,Nordrhein-Westfalen,42651,Germany,16578,8,92.7869
1700,11913,Ms.,Rebecca,A.,Robinson,648-555-0100,Cell,rebecca3@adventure-works.com,Home,1861 Chinquapin Ct,NULL,Seaford,Victoria,3198,Australia,15455,9,45.5924
1701,11952,Ms.,Dorothy,B.,Robinson,423-555-0100,Cell,dorothy3@adventure-works.com,Home,4693 Mills Dr.,NULL,Geelong,Victoria,3220,Australia,3243,9,9026.7451
1702,20164,Ms.,Carol Ann,F.,Rockne,439-555-0100,Cell,carolann0@adventure-works.com,Home,1312 Skycrest Drive,NULL,Lancaster,England,LA1 1LN,United Kingdom,1133,10,3481.1901
1703,20211,Mr.,Scott,M.,Rodgers,989-555-0100,Cell,scott10@adventure-works.com,Home,9860 Brookview Drive,NULL,East Brisbane,Queensland,4169,Australia,1188,9,5893.2413
1704,20562,Mr.,Jim,NULL,Rodman,899-555-0100,Home,jim4@adventure-works.com,Home,2377 Joyce Dr,NULL,Esher-Molesey,England,EM15,United Kingdom,2853,10,3308.4676
1705,20668,Mr.,Eric,NULL,Rothenberg,326-555-0100,Home,eric9@adventure-works.com,Home,9277 Country View Lane,NULL,Concord,California,94519,United States,7649,4,1934.8329
1706,20813,Mr.,Michael,L.,Rothkugel,358-555-0100,Cell,michael22@adventure-works.com,Home,3552 Mildred Ln.,NULL,St. Leonards,New South Wales,2065,Australia,6018,9,71.2394
1707,21190,Mr.,Pablo,NULL,Rovira Diez,786-555-0100,Cell,pablo0@adventure-works.com,Home,"15, rue Descartes",NULL,East Brisbane,Queensland,4169,Australia,11094,9,46.7194
1708,21279,Ms.,Linda,R.,Rousey,369-555-0100,Home,linda10@adventure-works.com,Home,5966 Sepulveda Ct.,NULL,Seaford,Victoria,3198,Australia,4739,9,5.514
1709,21286,Mr.,Luke,J.,Roy,583-555-0100,Home,luke0@adventure-works.com,Home,8625 Woodcrest Drive,NULL,Beverly Hills,California,90210,United States,1994,4,76.2119
